title,review_value,reviewer_name,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation
"""best airline I have been on""",10,Amanda Lockett,29th January 2020,"Not Verified |  ANA is the best airline I have been on. The staff are amazing the food is good for airplane food. The reason they are amazing is because the seats were nice, the cabin and bathroom clean and there were no delays at all. The safety video was in Japanese and English with subtitles in both languages. We were in economy on departure and in premium economy coming back. The seats in economy and premium economy had a foot paddle and the seat was comfortable and recline was good. The entertainment was pretty good with lots of new movies like Endgame, Spider-Man, Far from Home and Godzilla. The lounge in Tokyo Haneda welcomes business and Premium Economy passengers which lots of airlines don't do (and only welcome business class passengers) The food was good and the lounge staff were so polite. Every time you walked past them they would say “Kon ban wa”. so I highly recommend ANA. It's a great airline.",Boeing 787-9,Family Leisure,Economy Class,Sydney to Tokyo,September 2019,5.0,5.0,4.0,4.0,5.0,5,yes
"""one of the best if not the best""",9,Elizabeth Anderson,27th January 2020,"✅ Trip Verified |  Bangkok to Tokyo. So I have flown on many airlines overseas now and I will say ANA is definitely one of the best if not the best. Their customer service is great, staff are friendly, the food was good and the seats were perfectly sized for an overseas flight. They were constancy feeding you which was also really nice. I think on a 13 hour flight we got fed 3-4 times, amazing. The only thing I didn’t like if anything was that if you buy a ticket through another airline with them as partner you have no ability to prechoose your own seat or to check in online. Otherwise they are perfect.",,Family Leisure,Economy Class,Bangkok to Tokyo ,January 2020,5.0,5.0,4.0,5.0,4.0,5,yes
"""Premium Economy seat was great""",7,S Wang,16th January 2020,"✅ Trip Verified |  Houston to Singapore via Narita, Premium Economy seat was great. Large and very comfortable. Slept all the way back on the journey. Food was good as well, could have had fewer carbs options, more veg and protein. There was bread, rice, soba - too much carbs, in my opinion. One stewardess kept forgetting my stuff and I had to remind them or bring it to me after a couple of hours. However, I had a really good time chatting with one of the stewardess and she allowed me to stand and stretch my legs whilst waiting for my cup noodle. Inflight entertainment for English movies is limited - if you are flying short return flights, it would be ok but I was on a longer flight so I didn't have sufficient movies to keep me occupied.",Boeing 777-300,Business,Premium Economy,Houston to Singapore via Narita,January 2020,5.0,4.0,5.0,4.0,2.0,3,yes
"""Staff welcoming and friendly""",7,W Ellis,7th January 2020,"✅ Trip Verified | Haneda to Kuala Lumpur with ANA All Nippon Airways. The flight into Japan was wonderful. Staff were welcoming and friendly. However, I was a little disappointed with the check in process on my outgoing flight. Once I was told of the weight limit for each baggage, I was given an extra box to move items into (which is greatly appreciated). It would be even better if the weighing scales were pointed out to passengers with the same fate as I in the future. Quite a few of their staff could not understand simple English. This also, should be improved in the future. Thanks for your service during this flight.",,Couple Leisure,Economy Class,Haneda to Kuala Lumpur,January 2020,4.0,4.0,5.0,5.0,3.0,5,yes
"""told I must pay a cancellation fee""",3,Justin Colebrissi,5th January 2020,"✅ Trip Verified |  Ho Chi Minh City to Seattle via Tokyo. After we were encouraged to book through their online website by Vietnam staff to save money, we were told by their staff in Vietnam that our infant might be over the weight limit for their child bassinet at the time of flying.  We were told that we should buy another seat for infant to be safe. After checking further their website, I found that the weight restriction for infants in the bassinet is 10 kg. I asked them to refund the tickets, to which they told me I must pay a cancellation fee. I suggested they could refund the ticket with no fee as I booked the ticket only 30 minutes ago. They refused because I booked my ticket on the website I was automatically directed to. I decided to deal with this and hope all would be ok. Finally flight day arrived, and we had no baby bassinet and our seats had been moved from our reserved seats. The agent at the check-in counted was very accommodating and did their best to block a seat for us so that my baby could lay down which was appreciated. Onboard I found the bathrooms ill equipped, my food was average, my seat seemed small, entertainment weak, and supplies seemed lacking for food and childcare. The return flights were worse, not receiving our originally reserved seats, and the staff could not make time to help with our seating arrangement which meant an unhappy babys.  I wrote a review after my first flight, and I haven't received any feedback. ",Boeing 787,Family Leisure,Economy Class,Ho Chi Minh City to Seattle via Tokyo,December 2019,2.0,3.0,2.0,2.0,2.0,1,no
"""found the leg room was excellent""",6,H Green,25th December 2019,"✅ Trip Verified |  Tokyo to Perth. We found the leg room was excellent. Even though take off was delayed by 30 minutes on the ground at Tokyo (due to earlier fog at Narita), the pilot managed to make up time during the 9.5 hour flight and arrive on time in Perth. We felt the food provided was not as good as it could have been. The first meal is served within 2 hours of taking off. It was a passable chicken dish with side dishes of yoghurt, salad and ice cream. The second meal is a snack and is served within 2 hours of landing. Out of Australia, the snack was fine - something like a ham and cheese croissant, but out of Tokyo the snack was an open sandwich with an inexplicable ton of mayonnaise plus vegetables (corn?), I found it horrible. The entertainment options had some recent hollywood movies to choose from - not much choice apart from that. The TV shows and documentaries were poor or non existent. ANA needs to up their game in IFE. The IFE user interface was difficult for me to use and the cabin announcements were far too quiet - I could not hear 90% of what the captain and crew announced during the flight. I probably will not fly ANA again.",Boeing 787-8,Couple Leisure,Economy Class,Tokyo to Perth,December 2019,5.0,4.0,2.0,2.0,4.0,4,no
"""Customer service is the best""",10,Trung Hoang,17th December 2019,"✅ Trip Verified |  Los Angeles to Ho Chi Minh City via Tokyo. This is the best airline company. Everything is good. Customer service is the best. Aircrew is super good and helpful, professional. The food is the best etc.",,Family Leisure,Economy Class,Los Angeles to Ho Chi Minh City via Tokyo,November 2019,5.0,5.0,5.0,5.0,5.0,5,yes
"""the cabin was sparkling clean""",10,L Tran,10th December 2019,"✅ Trip Verified | Tokyo to New York. Excellent service began from check-in, with dedicated check-in room and security screening area. ANA Suite Lounge was nice, but I some how found SQ Private Room at Changi, QF First Class Lounge at SYD and the Concorde Room at JFK better. My flight was exactly the day after ANA launched its new 777 configuration to JFK, so I got stuck with the old version. However, the cabin was sparkling clean and showed no need for upgrading. My complaint was mainly about obstructed view from the Cube, and lack of storage space providing the size of the suite. Lavatory was underwhelming for first class, especially when comparing to my experience on the new SQ Suites just a week earlier. Catering was excellent, as expected from ANA. I picked the Western menu with a lot of skepticism but then was surprised about how tasty the dishes were. The wagyu steak was indeed overcooked, as anticipated on board a flight, but it was, at the same time, tender, juicy, and flavorful. ANA 777-300ER had excellent external camera, but they decided to turn it off upon landing, so I could not have a great landing view as I normally enjoyed with other airlines.",Boeing 777-300ER,Solo Leisure,First Class,Tokyo to New York ,November 2019,5.0,5.0,5.0,4.0,5.0,5,yes
"""Service was good""",8,L Tran,1st December 2019,"✅ Trip Verified | Tokyo to Beijing. First, the ANA lounge was very nice. There was a sushi bar but I did not try due to a long queue. The noodle bar was more than enough to keep me happy. There was no flatbed seats, but that was quite adequate for a regional flight. Service was good. In-flight meal was fine but was not as good as on ANA's long-haul flights.",Boeing 787-8,Solo Leisure,Business Class,Tokyo to Beijing ,October 2019,4.0,5.0,4.0,4.0,5.0,5,yes
"""In-flight meals were exceptional""",10,L Tran,29th November 2019,"✅ Trip Verified |  New York to Tokyo Narita. ANA flights depart from Terminal 7 at JFK. Check-in was quick and organized. As a business class passenger, I got access to British Airways Galleries Lounge, which had just been renovated with ample seating. The boarding process was well organized, and staff constantly apologized for the 15-minute-late departure. This gesture first seemed unnecessary, but it demonstrated a culture of discouraging lateness. The seat was not anything special, but comfortable, in both upright and bed modes. In-flight meals were exceptional, and they were easily one of the best airline meals I have ever had. Overall, ANA deserves its 5 stars.",Boeing 777-300ER,Solo Leisure,Business Class,New York to Tokyo Narita,October 2019,5.0,5.0,5.0,4.0,5.0,5,yes
"""service was superb""",5,James Swayngim,15th November 2019,"✅ Trip Verified |  Los Angeles to Haneda was fine and service was superb. My return was not so good. After takeoff the crew started to bring out towels and rice crackers. They stopped at row 33 the row in front of me. After a short wait the crew brought out drinks and came to give us, I asked about the rice crackers, crew apologized and started bringing rice crackers and drinks. For dinner service we had a choice of Set A or Set B. We both ordered Set A, and were given 1 for my wife and I was told have a 5 minute wait,  minutes later they started with Icecream service and my wife asked about my dinner that they had forgotten. After 10 Minutes they brought to me but I refused. Every time I got up to use restroom I was asked if I wanted a drink, which I said no. ",,Family Leisure,Economy Class,Tokyo to Los Angeles,November 2019,5.0,1.0,1.0,5.0,5.0,5,no
"""service was exceptional""",9,Randall Payne,11th November 2019,"Not Verified |  Bangkok to Houston via Tokyo. Fantastic Airline. First time flying with ANA,I was truly impressed. The check-in process (Bangkok) was fast, it took a about 5 minutes. The ground crew was courteous and helpful. The economy leg room was fine for me (5'8""). Seat was fairly comfortable. In flight service was exceptional. A snack before the first of 2 meals for a 12.5hr flight. I'm a vegan, so I elected for the fruit platter for my meals. Fruit was fresh. Plenty of restrooms available and all were spacious and clean. I've flown many Asian carries over the years and I can say this was the best, so far. I can see why ANA is rated as 5 star. I would recommend ANA to anyone. Will definitely travel with them again. ",Boeing 777-300ER,Solo Leisure,Economy Class,Bangkok to Houston via Tokyo,November 2019,4.0,5.0,5.0,4.0,5.0,5,yes
"""I highly recommend ANA to anyone""",9,Q Morse,1st November 2019,"Not Verified |  Los Angeles to Bangkok via Tokyo. Absolutely fantastic experience on this airline. My girlfriend and I flew to Bangkok, Thailand. Food was served every few hours, hot and tasty for airline food. Stewardesses were courteous, kind, and had not a single hair out of place. We were disappointed that the return flight was serviced by United. The immediate change in enthusiasm, service, and courtesy was very obvious. I highly recommend ANA to anyone traveling to Asia.",,Couple Leisure,Economy Class,Los Angeles to Bangkok via Tokyo,October 2019,3.0,5.0,5.0,5.0,5.0,4,yes
"""tried to source compensation""",1,A Kirk,30th October 2019,"✅ Trip Verified |  I had a domestic flight from Tokyo to Sapporo on 21/09 which I'd booked months in advance. On the morning of my flight, ANA cancelled my flight because the aircraft is no longer available. I tried various contact numbers for an hour and did not get through to customer service. I had to be in Sapporo that evening so I booked with another airline which was £350 more expensive. I didn't have time to go to the airport and hope ANA would get me to Sapporo in time. I've tried to source compensation now I'm back in the U.K but ANA refuse any compensation because they say the lack of aircraft availability was due to adverse weather. This is hard to believe seeing as no other flights were cancelled, the airport was functional and I managed to fly with another airline. ",,Couple Leisure,Economy Class,Tokyo to Sapporo,September 2019,,,,,,3,no
"""my surfboard bag was too big""",3,Rose Jaffurs,30th October 2019,"✅ Trip Verified |  
Honolulu  to Tokyo Haneda. As a traveling surfer I choose an airline that charges the least, or in most cases free (as your 2nd checked), no hassle and stress free. This Check in was a nightmare as I stood at the counter for 45 minutes because my surfboard bag was too big. Finally they accepted the bag and charged me $200 but the hassle was not worth it.",,Solo Leisure,Business Class,Honolulu  to Tokyo Haneda,October 2019,3.0,5.0,,,1.0,1,no
"""I was going to skip one flight""",5,E Dawson,28th October 2019,"✅ Trip Verified |  I had a ticket from Nagoya to Seattle via Tokyo and I found myself staying in Tokyo longer that I had planned. I called ANA and told them that I would not be getting on the Nagoya to Tokyo flight since I was already in Tokyo, but I would still be getting on the Tokyo to Seattle flight. They said that unless I pay them 12,500 yen ($120), that I would not be allowed to get on my flight from Tokyo to Seattle. They considered that to be changing the ticket.  I was simply telling them that I was going to skip one flight but take the other.",,Solo Leisure,Economy Class,Nagoya to Seattle via Tokyo,June 2019,4.0,4.0,4.0,4.0,4.0,3,no
"""efficient and pleasant FAs""",5,Michel Perrin,21st October 2019,"✅ Trip Verified |  Itami to Haneda. Short domestic flight. Osaka Itami airport is under renovation, dusty and unpleasant. Check-in was smooth, domestic lounge was spartan (lunch time but no warm food), boarding was robotic, aircraft was extremely clean, with efficient and pleasant FAs serving drinks.",Boeing 777-200,Solo Leisure,Economy Class,Itami to Haneda,July 2019,2.0,4.0,2.0,,3.0,3,yes
"""Good service all in all""",5,W Hubbard,19th October 2019,"✅ Trip Verified |  Tokyo to London. Staff were very friendly, food was nice but only had fish left by the time they got to the back of the plane. In flight entertainment was quite limited in English for such a long flight. Seats were horrendous, the most uncomfortable. Upgrades were heavily priced. Good service all in all, and still superior choice over British Airways and other rivals flying the same route.",,Couple Leisure,Economy Class,Tokyo to London,October 2019,1.0,5.0,4.0,3.0,4.0,3,yes
"""it's such a good experience""",10,J Lim,16th October 2019,"✅ Trip Verified |  Houston to Hong Kong via Tokyo. ANA lives up to its reputation as a 5-Star airline and it is easy to see why. I paid US$825, all-in including taxes, for a round trip journey of 3 legs in each way. HKG-NRT-IAH-LIM & back (United Airlines codeshare IAH-LIM). Incredible pricing. Even from the ground, the check-in process (Haneda) was seamless and it took us a mere 10 minutes for check-in and security and immigration combined. Despite the aircraft (B767 & B777) being of some age, their interiors were retrofitted with up-to-date IFE (with a huge selection of the latest movies, no lagging or dead screens), and USB & laptop charging ports. The widebody aircraft meant that overhead storage space was more than sufficient and nobody had any problems finding space for their bags. The legroom in economy was one of the best we had ever experienced in economy. Recline could be better. (I'm 5""11 or 1.81m and I could stretch my legs out fully), seats were fairly comfortable and I had no problems sleeping 6-7 hours at a go on the 13hr flight and this is in economy. FA service was extremely hospitable. They served 2 meals and a snack over the course of 13 hours. The meals were great and as good as what some average Japanese restaurants would serve. It is also worth noting that the checked baggage arrived with no incident. The only minor gripe, perhaps, is that the 3-4-3 configuration in economy is quite a squeeze. But still, overall, it's hard to complain at such a price point. Even in economy it's such a good experience. They deserve to be consistently at the top of world rankings in all categories. ",Boeing 777-300ER / 767-300ER,Couple Leisure,Economy Class,Houston to Hong Kong via Tokyo,October 2019,5.0,5.0,5.0,5.0,5.0,5,yes
"""return flight was day of Typhoon Hagibis""",1,Chok Lung Tang,16th October 2019,"✅ Trip Verified |  I flew with ANA on 10/8/2019 from Taipei to Tokyo, and the in-flight service is fine and very satisfied. My scheduled return flight was on 10/12/2019, the day of Typhoon Hagibis. When Typhoon Hagibis was about to hit I got their notification by SMS that the return flight was canceled, but they didn't give further information of an alternative flight. I called my travel agent for help, they told me there is very little they can do on their side, and I have to call the ANA English call center for alternative flight arrangement. I called multiple times, but the line was busy, and finally the call was through, and I was directed to waiting for available service personnel. After 1 hour waiting my call was finally picked up , and arrange us into their 10/13 flight at the same departure time. In the next day afternoon, I got the notification again that my flight on 10/13 was canceled again.  I called the English call center again, multiple times, but I kept getting automatic Japanese audio reply which I don't understand, and couldn't get through to their service personnel.  Later, I found that their call center was down due to surged calls. Next day I went to Haneda airport when the transport services resumed, we were directed to ANA special service counters crowded with passengers. We were told the earliest flight we can took was on 10/18, that was all they were authorized to provide on the site. And we were offered the Eng call center no. which was expected to be available again in the night of 10/13, and asked us to call the center for other possibility. That is ridiculous to me, what is the point of setting up S-counters, and have customers to wait multiple hrs (>4 hrs for us), and then tell us to call a charged call center again for additional help? ",,Business,Economy Class,Tokyo Haneda to Taipei,October 2019,4.0,4.0,4.0,4.0,1.0,1,no
"""poor ticketing system""",4,Syed Umar,4th October 2019,"✅ Trip Verified | Tokyo to Kuala Lumpur. Decent airline but poor ticketing and check-in system. Check-in at ANA counter always takes me more than 30mins because their system indicates that the name on the check-in system and name on passport is the other way around (First name, last name). This happens even though we strictly follow ANA'S online reservation system guideline on how to input names for people from various countries. I explained this to the ground staff at Narita and Haneda multiple times but their response is usually that the reservation system is handled by another department. Discrepancy between reservation system and check in system is definitely a possibility. I can't add my miles because ANA mile systems has a totally different rule for passengers without dedicated first name and last name. So I have given up Using ANA mileage but now using United mileageplus. My family and I are relatively frequent flyers yet we never experience this with other airlines. With ANA, same problem has been going on for at least 2 yrs but we have not seen any improvement since.",Boeing 787,Family Leisure,Economy Class,Tokyo to Kuala Lumpur,August 2019,3.0,4.0,3.0,3.0,1.0,2,no
"""climb up stairs to the plane""",4,P Jing,1st October 2019,"✅ Trip Verified |  Narita to Kuala Lumpur on flight NH815. After arriving at my gate, I started to feel weird as we are boarding through buses. You have to climb up stairs to the plane carrying your hand luggage.  Maybe I have too high hopes for a 5 star Japanese airline. We are paying for service as a customer. ",Boeing 787-9,Business,Business Class,Tokyo ta to Kuala Lumpur,September 2019,3.0,5.0,3.0,4.0,2.0,2,no
"""ANA is always a pleasure""",10,Vinay Ladwa,30th September 2019,"✅ Trip Verified |  Bangkok to Tokyo Haneda. Flying with ANA is always a pleasure as even before boarding the flight you know that the service will be of a very high standard due to Japanese custom of serving the client! Hence, it was no surprise that the flight has outstanding service from the Japanese and some Thai crew. Drinks and food was served in a superb manner, plane was very clean, toilets very super clean and if or whenever you called for service the crew came immediately, spoke with the most respect and promptly served you. This is a wonderful airline which I feel even Singapore Airlines and Cathy cannot match and they are great. However, what really impressed me was how professional the Purser in charge of my section; Ms Nagakawa was! I asked a Crew member for a customer form not realising that they would consider this as me being unhappy and raise it to their Purser. Ms Nagakawa came to me and said, ""Sir, you have asked for a customer form, could you give me an outline of what the problem is?"" The way in which she did it and showed concern made me realise what high standards this airline puts in pleasing a client and if the client is unhappy in anyway, they don't speak down to the client like other airlines do, their senior team members come professionally to appease the situation and help the client enjoy their flight. Luckily for her I had good news about how wonderful the flight was. She so politely spoke to me and appreciated it but that was not just it, she continued to maintain high standards by constantly checking on me and personally serving service of a high standard. An absolutely magnificent Purser who led the team by example and I had one of the best flights of my life. My return flight too was superb with high quality service from ANA. I highly recommend this company for safety, service and most important of all the way in which you as a client are respected! Thank you to ANA for employing such wonderful staff like Ms Nagakawa and the other crew as well as setting such high standards",,Solo Leisure,Economy Class,Bangkok to Tokyo Haneda,August 2019,5.0,5.0,4.0,5.0,5.0,5,yes
